ID,Name,Maximum Deficit,Initial Deficit,Potential Percolation Rate
0,NoData,0,0,0
1,1725696,0,0,0
10,1725684,10.49,4.11,0.57
11,1725716,15.45,6.31,0.6
12,1725726,17.47,5.25,0.34
13,1725745,0,0,0
14,1725708,4.02,1.79,0.6
15,1725690,9.46,5.29,0.6
16,1725704,3.05,1.35,1.19
17,1725686,10.61,8.21,5.86
18,1725715,15.54,6.82,0.6
19,1725714,10.51,3.19,0.62
2,1725683,10.47,3.97,0.54
20,1725709,3.92,1.91,0.6
21,1725713,10.5,3.21,0.63
22,1725719,1.24,0.84,5.86
23,1725720,0,0,0
24,1725707,8.15,0.92,0.22
25,1725693,9.28,6.23,5.91
26,1725712,9.42,5.86,2
27,1725728,18.02,6.85,0.43
28,1725717,15.59,7.12,0.6
29,1725706,12.37,5.35,0.6
3,1725682,3.79,2.62,1.3
30,1725680,4.99,1.85,0.57
31,1725695,0,0,0
32,1725692,9.28,6.26,5.86
33,1725718,3.69,2.3,0.73
34,1725705,3.48,1.52,0.6
35,1725691,9.46,5.32,0.6
36,1725698,8.78,5.78,6
37,1725701,20.94,10.16,0.71
38,1725699,9.03,5.93,6
39,1725724,9.29,5.29,0.6
4,1725727,17.71,6.12,0.39
40,1725702,8.56,2.25,0.32
41,1725681,7.57,2.93,0.57
42,1725694,3.81,1.95,0.6
43,1725711,5.68,2.23,1.32
44,1725687,23.11,14.26,3.69
45,1725697,9.46,5.12,1.65
46,1725688,3.51,1.71,3.9
47,1725703,8.72,2.79,0.37
48,1413666,4.99,1.85,0.57
49,1413695,8.93,2.75,0.49
5,1725722,9.59,5.43,1.97
50,1413703,0,0,0
51,1413675,0,0,0
52,1413688,5.15,2.55,0.2
53,1413684,4.02,1.79,0.6
54,1413674,3.81,1.95,0.12
55,1413672,22.86,13.5,6
56,1413682,12.37,5.35,0.6
57,1413690,0,0,0
58,1413673,3.52,1.93,3.42
59,1413691,9.46,5.32,0.6
6,1725689,9.46,5.32,0.6
60,1413685,3.53,1.45,1.04
61,1413686,3.92,1.91,0.6
62,1413680,0,0,0
63,1413676,9.46,5.38,2
64,1413696,4.9,1.9,0.15
65,1413679,0,0,0
66,1725569,9.59,5.43,1.97
67,1725529,9.29,6.13,6
68,1725540,2.2,1.26,0.6
69,1725570,9.27,5.38,1.93
7,1725723,9.29,5.29,0.6
70,1725536,9.29,6.29,6
71,1725579,0,0,0
72,1725561,15.5,6.93,0.6
73,1725557,9.22,4.32,2
74,1725562,15.45,7.65,0.6
75,1725534,19.08,11.49,3.08
76,1725552,4.02,1.79,0.6
77,1725541,0,0,0
78,1413701,6.78,1.33,0.03
79,1725565,1.24,0.63,6
8,1725700,20.26,8.25,0.6
80,1725531,10.49,4.24,0.42
81,1413694,5.15,0.29,0.06
82,1413693,3.51,1.33,0.6
83,1413687,2.13,0,0
84,1413700,0,0,0
85,1413683,8.56,1.54,0.32
86,1413671,3.69,1.19,0.6
87,1413678,3.12,1.4,0.15
88,1413669,0,0,0
89,1413697,0,0,0
9,1725685,10.61,8.21,5.86
90,1413692,14.02,5.67,0.6
91,1413698,0,0,0
92,1725744,0,0,0
93,1414673,12.37,5.35,0.6
94,1414672,3.53,1.45,1.04
95,1414675,4.02,1.79,0.6
96,1414667,0,0,0
97,1414679,5.15,2.55,0.2
98,1725548,3.05,1.35,1.19
99,1413699,2.56,0,0
